"id","province","city","type","carrier","product","directive","upward","downward","receiveMsg","reportAt","checked","remark","version","result","return_code"
"24616721","731","735","1","CMCC","0","CXTCLL","10086","10086","[""您好！您输入的指令不正确，请回复如下数字序号查询办理：\n0.下载河南移动智慧生活\n1.话费查询\n2.5G专区\n3.业务办理\n5.增值业务统一查询退订\n6.个人信息\n7.国际业务\n8.移动之家\n9.宽带专区回复信息免费\n【中国移动】【推荐您使用河南移动智慧生活APP，24小时不打烊，交话费、查流量、办业务一键搞定，新人首次下载还可领3GB流量、签到抽1000元话费。点击 http:\/\/dx.10086.cn\/bpGsBw 下载】【中国移动】""]","2021-03-30 09:03:01","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616691","10","10","1","CMCC","0","cxyl","10086","10086","[""您可点击 https:\/\/m.sd.10086.cn\/sdSLServer\/TNyuXKe 查询套餐剩余情况~\n\n-----★★解忧提示★★-----\n回复以下字母（如M）同意回访，由专属客服为您量身提供优惠，并可获得500MB流量券。\n【M】我的套餐不合适\n【N】我想改个更划算的套餐\n【P】我的流量经常不够用\n【L】我想节省话费""]","2021-03-30 08:49:06","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616650","791","792","1","CMCC","0","CXGPRS","10086","10086","[""温馨提示：您是不是想咨询以下问题？\n【热门推荐】\n【0.4元1G起短时流量】https:\/\/dx.10086.cn\/lkcdxgw \n【最热门流量】http:\/\/dx.10086.cn\/znydrmH5；\n【抖音快手免流包】https:\/\/dx.10086.cn\/YDDYKSML \n【加速包】http:\/\/dx.10086.cn\/JSBDXKF 【中国移动】""]","2021-03-30 08:34:43","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616644","20","769","1","CMCC","0","CXLL","10086","10086","[""尊敬的客户，您办理的20G7天流量包已生效，内含20G国内通用流量，有效期7天，到期清零。【中国移动】""]","2021-03-30 08:31:32","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616643","20","769","1","CMCC","0","CXLL","10086","10086","[""尊敬的客户，您办理的20G7天流量包已生效，内含20G国内通用流量，有效期7天，到期清零。【中国移动】""]","2021-03-30 08:31:32","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616629","431","434","1","CMCC","0","1173","10086","10086","[""尊敬的客户，您本月手机上网优惠使用情况:国内(不含港澳台)手机上网流量优惠可享受58GB55.22MB（含结转量18GB55.18MB），现剩余0.00MB达量不限速套外计费规则可享受5GB，现剩余996.53MB。本卡各项套餐使用及剩余情况详细查询请点击http:\/\/dx.10086.cn\/tcyl86【中国移动】""]","2021-03-30 08:26:44","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616559","311","310","1","CMCC","20000","5011","10086","10086","[""您好！您本月已消费37.90元，当前余额11.17元。快速充值可点击 https:\/\/dx.10086.cn\/dtcz01 （点击链接正常消耗流量）。【中国移动】""]","2021-03-30 07:59:33","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616537","28","28","1","CMCC","0","CXLL","10086","10086","[""【流量查询】尊敬的客户，您好！截止今日02时39分20秒，您本月国内通用流量共20.00GB(共享)，当前可使用1002.93MB(共享)；国内其他流量共10.00GB，当前可使用0.00MB。【为您推荐】尊敬的客户，您好！为了更好的为您提供移动服务，确保您能及时收到四川移动服务信息、调研回访以及业务推广等信息，特推荐您开通服务管家，此业务不收任何费用且长期有效，成功订购后，四川移动将以电话（10086、10085、10088）、短信、即时通信工具、电子邮件等方式进行告知。点击链接可办理：https:\/\/dx.10086.cn\/1132dp 。百分努力，只为您10分满意！ \r\n如需查询流量使用进度，请点击 ：http:\/\/dx.10086.cn\/sccxll【中国移动】""]","2021-03-30 07:52:16","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616519","28","28","1","CMCC","0","CXLL","10086","10086","[""【流量查询】尊敬的客户，您好！截止今日12时51分30秒，您本月国内通用流量共31.00GB(其中个人11.00GB，共享20.00GB)，当前可使用7.04GB(其中个人0.00MB，共享7.04GB)；国内其他流量共10.00GB，当前可使用9.99GB。【为您推荐】尊敬的客户，您好！为了更好的为您提供移动服务，确保您能及时收到四川移动服务信息、调研回访以及业务推广等信息，特推荐您开通服务管家，此业务不收任何费用且长期有效，成功订购后，四川移动将以电话（10086、10085、10088）、短信、即时通信工具、电子邮件等方式进行告知。点击链接可办理：https:\/\/dx.10086.cn\/1132dp 。百分努力，只为您10分满意！【中国移动】""]","2021-03-30 07:46:59","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616503","27","728","1","CMCC","0","CXLL","10086","10086","[""【流量查询】尊敬的客户，您好！截至3月28日8时43分，【现已达量降速】。 仅供参考，具体以月结账单为准。中国移动""]","2021-03-30 07:37:29","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616444","28","825","1","CMCC","0","CXLL","10086","10086","[""【流量查询】尊敬的客户，您好！截止今日09时27分23秒，您本月国内其他流量共30.00GB，当前可使用28.71GB；套外流量已经使用822.28MB。 \r\n如需查询流量使用进度，请点击 ：http:\/\/dx.10086.cn\/sccxll【中国移动】""]","2021-03-30 07:11:25","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616409","20","755","1","CMCC","0","CXLL","10086","10086","[""尊敬的15889560181客户，截至29日23时39分，您当月常用流量已用5.00G，可用0，定向流量已用0.00M，可用30.00G；以上信息可能存在延时，具体以详单为准。如需查看更多详情您可登录 http:\/\/dx.10086.cn\/qEeHBA ，方便更快捷。【中国移动】""]","2021-03-30 06:55:04","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616371","28","839","1","CMCC","0","CXLL","10086","10086","[""【流量查询】尊敬的客户，您好！截止今日04时39分52秒，您本月国内通用流量共50.00GB，当前可使用1017.50MB；国内其他流量共30.00GB，当前可使用29.99GB。【为您推荐】尊敬的客户，您好！为了更好的为您提供移动服务，确保您能及时收到四川移动服务信息、调研回访以及业务推广等信息，特推荐您开通服务管家，此业务不收任何费用且长期有效，成功订购后，四川移动将以电话（10086、10085、10088）、短信、即时通信工具、电子邮件等方式进行告知。点击链接可办理：https:\/\/dx.10086.cn\/1132dp 。百分努力，只为您10分满意！ \r\n如需查询流量使用进度，请点击 ：http:\/\/dx.10086.cn\/sccxll【中国移动】""]","2021-03-30 06:25:04","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
